passage_id,passage_title,genre,condition,max_tokens,sender_model,receiver_model,cosine_similarity
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,neutral,50,gpt-4.1-mini,gpt-4.1-mini,0.766
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,factual,50,gpt-4.1-mini,gpt-4.1-mini,0.7093
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,emotional,50,gpt-4.1-mini,gpt-4.1-mini,0.698
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,anomaly_preserving,50,gpt-4.1-mini,gpt-4.1-mini,0.7191
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,neutral,100,gpt-4.1-mini,gpt-4.1-mini,0.8457
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,factual,100,gpt-4.1-mini,gpt-4.1-mini,0.7806
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,emotional,100,gpt-4.1-mini,gpt-4.1-mini,0.7603
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,anomaly_preserving,100,gpt-4.1-mini,gpt-4.1-mini,0.8312
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,neutral,200,gpt-4.1-mini,gpt-4.1-mini,0.9014
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,factual,200,gpt-4.1-mini,gpt-4.1-mini,0.9261
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,emotional,200,gpt-4.1-mini,gpt-4.1-mini,0.8647
narrative_001,Bhadkeswar Temple,spiritual_autobiographical,anomaly_preserving,200,gpt-4.1-mini,gpt-4.1-mini,0.9399
narrative_002,Parallel Existence,near_death_anomalous_memory,neutral,50,gpt-4.1-mini,gpt-4.1-mini,0.7705
narrative_002,Parallel Existence,near_death_anomalous_memory,factual,50,gpt-4.1-mini,gpt-4.1-mini,0.781
narrative_002,Parallel Existence,near_death_anomalous_memory,emotional,50,gpt-4.1-mini,gpt-4.1-mini,0.6668
narrative_002,Parallel Existence,near_death_anomalous_memory,anomaly_preserving,50,gpt-4.1-mini,gpt-4.1-mini,0.65
narrative_002,Parallel Existence,near_death_anomalous_memory,neutral,100,gpt-4.1-mini,gpt-4.1-mini,0.8111
narrative_002,Parallel Existence,near_death_anomalous_memory,factual,100,gpt-4.1-mini,gpt-4.1-mini,0.752
narrative_002,Parallel Existence,near_death_anomalous_memory,emotional,100,gpt-4.1-mini,gpt-4.1-mini,0.7727
narrative_002,Parallel Existence,near_death_anomalous_memory,anomaly_preserving,100,gpt-4.1-mini,gpt-4.1-mini,0.69
narrative_002,Parallel Existence,near_death_anomalous_memory,neutral,200,gpt-4.1-mini,gpt-4.1-mini,0.852
narrative_002,Parallel Existence,near_death_anomalous_memory,factual,200,gpt-4.1-mini,gpt-4.1-mini,0.8611
narrative_002,Parallel Existence,near_death_anomalous_memory,emotional,200,gpt-4.1-mini,gpt-4.1-mini,0.804
narrative_002,Parallel Existence,near_death_anomalous_memory,anomaly_preserving,200,gpt-4.1-mini,gpt-4.1-mini,0.8182
narrative_003,Secret Garden,stream_of_consciousness_spiritual,neutral,50,gpt-4.1-mini,gpt-4.1-mini,0.7719
narrative_003,Secret Garden,stream_of_consciousness_spiritual,factual,50,gpt-4.1-mini,gpt-4.1-mini,0.7491
narrative_003,Secret Garden,stream_of_consciousness_spiritual,emotional,50,gpt-4.1-mini,gpt-4.1-mini,0.6912
narrative_003,Secret Garden,stream_of_consciousness_spiritual,anomaly_preserving,50,gpt-4.1-mini,gpt-4.1-mini,0.6917
narrative_003,Secret Garden,stream_of_consciousness_spiritual,neutral,100,gpt-4.1-mini,gpt-4.1-mini,0.7795
narrative_003,Secret Garden,stream_of_consciousness_spiritual,factual,100,gpt-4.1-mini,gpt-4.1-mini,0.793
narrative_003,Secret Garden,stream_of_consciousness_spiritual,emotional,100,gpt-4.1-mini,gpt-4.1-mini,0.7389
narrative_003,Secret Garden,stream_of_consciousness_spiritual,anomaly_preserving,100,gpt-4.1-mini,gpt-4.1-mini,0.858
narrative_003,Secret Garden,stream_of_consciousness_spiritual,neutral,200,gpt-4.1-mini,gpt-4.1-mini,0.799
narrative_003,Secret Garden,stream_of_consciousness_spiritual,factual,200,gpt-4.1-mini,gpt-4.1-mini,0.8669
narrative_003,Secret Garden,stream_of_consciousness_spiritual,emotional,200,gpt-4.1-mini,gpt-4.1-mini,0.828
narrative_003,Secret Garden,stream_of_consciousness_spiritual,anomaly_preserving,200,gpt-4.1-mini,gpt-4.1-mini,0.8485
narrative_004,Snow Farm Dream,dreamlike_violent_rupture,neutral,50,gpt-4.1-mini,gpt-4.1-mini,0.84
narrative_004,Snow Farm Dream,dreamlike_violent_rupture,factual,50,gpt-4.1-mini,gpt-4.1-mini,0.8512
narrative_004,Snow Farm Dream,dreamlike_violent_rupture,emotional,50,gpt-4.1-mini,gpt-4.1-mini,0.6203
narrative_004,Snow Farm Dream,dreamlike_violent_rupture,anomaly_preserving,50,gpt-4.1-mini,gpt-4.1-mini,0.8357
narrative_004,Snow Farm Dream,dreamlike_violent_rupture,neutral,100,gpt-4.1-mini,gpt-4.1-mini,0.8655
narrative_004,Snow Farm Dream,dreamlike_violent_rupture,factual,100,gpt-4.1-mini,gpt-4.1-mini,0.8844
narrative_004,Snow Farm Dream,dreamlike_violent_rupture,emotional,100,gpt-4.1-mini,gpt-4.1-mini,0.8164
narrative_004,Snow Farm Dream,dreamlike_violent_rupture,anomaly_preserving,100,gpt-4.1-mini,gpt-4.1-mini,0.9125
